Rating,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,hourly,employer_provided,job_state,same_state,age,python,r,sas,spark,aws,sql,excel,matlab,desc_len,level,title,comp,name
4.2,135,7,2,1,30,13,4,52,93,72.5,0,0,17,0,32.0,0,0,0,0,0,0,1,0,2356,3,2,0,264
3.4,181,59,1,8,30,13,3,55,116,85.5,0,0,17,0,24.0,0,0,0,0,0,0,0,0,4154,3,4,3,133
3.2,111,13,4,5,20,10,0,72,123,97.5,0,0,34,0,62.0,1,0,1,0,0,1,1,1,5466,3,2,3,177
3.9,61,147,5,1,30,13,4,74,124,99.0,0,0,34,0,10.0,1,0,0,0,0,0,1,0,2606,3,2,3,297
3.1,116,22,2,1,33,14,5,40,73,56.5,0,0,36,0,19.0,0,0,0,0,0,1,1,0,4265,2,0,3,99
4.1,175,172,0,1,30,13,12,102,164,133.0,0,0,17,1,13.0,1,0,0,0,0,0,0,0,5510,3,2,0,243
3.8,122,117,6,1,45,5,12,89,153,121.0,0,0,25,1,8.0,1,0,0,1,0,0,0,0,3471,3,2,0,3
4.7,183,177,5,1,46,5,12,61,110,85.5,0,0,25,1,28.0,1,0,0,0,0,1,0,0,3351,3,2,3,239
4.3,83,117,2,8,16,8,12,65,110,87.5,0,0,32,0,5.0,1,0,0,0,0,1,0,0,3759,3,3,3,312
4.2,190,185,2,1,12,5,12,200,275,237.5,0,0,5,1,85.0,1,0,0,0,0,0,1,0,3323,3,2,3,131
3.9,36,150,2,1,30,13,4,68,123,95.5,0,0,21,0,23.0,1,0,0,1,0,1,0,0,5537,3,2,3,57
3.3,177,53,1,2,54,15,7,80,129,104.5,0,0,18,0,26.0,1,0,0,1,1,1,1,0,4804,3,2,0,18
4.7,110,139,3,1,10,13,12,41,72,56.5,0,0,23,0,8.0,0,0,0,0,0,1,1,0,5643,3,0,3,67
4.3,140,135,3,1,18,13,6,39,71,55.0,0,0,1,1,10.0,0,0,1,0,0,1,1,0,3240,3,0,0,156
2.9,129,125,2,4,28,12,12,38,85,61.5,0,0,22,1,43.0,0,0,0,0,0,0,1,0,4961,3,4,3,47
4.5,163,158,3,1,10,13,4,121,193,157.0,0,0,2,1,14.0,0,0,0,1,1,0,0,0,5174,3,2,3,98
3.4,105,100,3,1,34,13,12,54,102,78.0,0,0,23,1,1.0,1,0,0,0,0,1,0,0,2254,3,1,2,260
3.7,30,124,1,2,7,4,3,83,144,113.5,0,0,16,0,239.0,1,0,0,1,0,1,0,0,3799,2,2,3,289
4.6,122,117,6,1,34,13,4,120,160,140.0,0,0,25,1,11.0,1,0,0,1,0,0,0,0,4609,3,3,2,4
3.2,163,158,6,1,18,13,12,102,163,132.5,0,0,2,1,5.0,0,0,0,1,0,0,1,0,3185,3,2,0,126
4.0,163,162,4,2,10,13,5,76,140,108.0,0,0,2,0,38.0,1,0,0,1,0,1,0,0,3479,3,2,0,31
4.6,15,8,5,1,19,2,9,60,101,80.5,0,0,12,1,83.0,0,0,0,0,0,0,0,0,745,3,2,0,36
